state,County2,pop
AK,Aleutians East,2464
AK,Aleutians West,4035
AK,Anchorage,225212
AK,Bethel,13665
AK,Bristol Bay,929
AK,Denali,2034
AK,Dillingham,4012
AK,Fairbanks North Star,77761
AK,Haines,2246
AK,Juneau,26749
AK,Kenai Peninsula,42009
AK,Ketchikan Gateway,14308
AK,Kodiak Island,13309
AK,Lake And Peninsula,2166
AK,Matanuska Susitna,39654
AK,Nome,8288
AK,North Slope,5979
AK,Northwest Arctic,6113
AK,Prince Wales Ketchikan,5895
AK,Sitka,8638
AK,Skagway Hoonah Angoon,3622
AK,Southeast Fairbanks,5916
AK,Valdez Cordova,9952
AK,Wade Hampton,5791
AK,Wrangell Petersburg,6826
AK,Yakutat,705
AK,Yukon Koyukuk,6420
AL,Autauga,36106
AL,Baldwin,98280
AL,Barbour,22752
AL,Bibb,16713
AL,Blount,32929
AL,Bullock,11956
AL,Butler,21898
AL,Calhoun,117913
AL,Chambers,35629
AL,Cherokee,19348
AL,Chilton,31936
AL,Choctaw,16287
AL,Clarke,27240
AL,Clay,11927
AL,Cleburne,12011
AL,Coffee,42613
AL,Colbert,48199
AL,Conecuh,13910
AL,Coosa,9586
AL,Covington,37128
AL,Crenshaw,13629
AL,Cullman,65449
AL,Dale,44662
AL,Dallas,49430
AL,De Kalb,54645
AL,Elmore,52635
AL,Escambia,35012
AL,Etowah,97193
AL,Fayette,16314
AL,Franklin,30422
AL,Geneva,22823
AL,Greene,10153
AL,Hale,15498
AL,Henry,14039
AL,Houston,86084
AL,Jackson,48434
AL,Jefferson,659319
AL,Lamar,17097
AL,Lauderdale,79661
AL,Lawrence,32858
AL,Lee,86783
AL,Limestone,51038
AL,Lowndes,11271
AL,Macon,24084
AL,Madison,242009
AL,Marengo,23089
AL,Marion,30973
AL,Marshall,80333
AL,Mobile,378643
AL,Monroe,23959
AL,Montgomery,209410
AL,Morgan,101152
AL,Perry,12648
AL,Pickens,19317
AL,Pike,27591
AL,Randolph,19552
AL,Russell,47925
AL,Saint Clair,49672
AL,Shelby,91056
AL,Sumter,15900
AL,Talladega,75280
AL,Tallapoosa,34554
AL,Tuscaloosa,145738
AL,Walker,73899
AL,Washington,16430
AL,Wilcox,13465
AL,Winston,22053
AR,Arkansas,20802
AR,Ashley,24319
AR,Baxter,30807
AR,Benton,96028
AR,Boone,28344
AR,Bradley,11793
AR,Calhoun,5826
AR,Carroll,18651
